time,q0,q1,q2,q3
0,0,1,0,0
0.01,1.25254061437098e-06,0.999999994057824,9.74997289226006e-05,4.87502488658078e-05
0.02,5.00994985580182e-06,0.999999977425102,0.000189998581469541,9.5001241011278e-05
0.03,1.12719711990225e-05,0.999999951808212,0.000277495931485227,0.000138753469926604
0.04,2.00383479583932e-05,0.999999918801077,0.000359991153011573,0.00018000742930225
0.05,3.13088232907536e-05,0.999999879885153,0.000437483620244115,0.000218763613000456
0.06,4.50831401968626e-05,0.999999836429419,0.000509972707490937,0.000255022515028147
0.07,6.13610415214279e-05,0.999999789690359,0.000577457789134393,0.000288784629511246
0.08,8.01422699517249e-05,0.999999740811954,0.000639938239595653,0.000320050450670389
0.09,0.000101426568014807,0.999999690825668,0.000697413433302051,0.00034882047279804
0.1,0.000125213678073304,0.999999640650437,0.000749882744657254,0.000375095190237015
0.11,0.000151503342319815,0.999999591092652,0.000797345548014241,0.000398875097360401
0.12,0.000180295302769887,0.999999542846153,0.000839801217651107,0.000420160688552876
0.13,0.00021158930125359,0.999999496492211,0.000877249127749681,0.000438952458193438
0.14,0.000245385079405675,0.999999452499518,0.000909688652376964,0.000455250900639525
0.15,0.000281682378654334,0.999999411224175,0.000937119165469396,0.000469056510212537
0.16,0.000320480940208538,0.999999372909679,0.000959540040819945,0.000480369781184766
0.17,0.000361780505043981,0.999999337686907,0.000976950652068022,0.000489191207767712
0.18,0.000405580813887603,0.999999305574109,0.000989350372692227,0.000495521284101812
0.19,0.00045188160720071,0.999999276476894,0.000996738576005919,0.000499360504247553
0.2,0.000500683831486523,0.999999247935934,0.00100136633055764,0.000500708238547873
0.21,0.000551988978922071,0.999999216928572,0.0010059257963622,0.000499563511213628
0.22,0.0006057973786941,0.999999182947907,0.00101052952437029,0.000495926541630279
0.23,0.000662109220728654,0.999999145681697,0.00101505936761126,0.000489797647944211
0.24,0.000720924341921894,0.999999104413837,0.00101955902942777,0.00048160045945499
0.25,0.000782241730136481,0.999999058197973,0.00102396303039528,0.000472441270947057
0.26,0.000846060637177058,0.999999006162093,0.00102829441992952,0.000463105613723324
0.27,0.000912380929604316,0.99999894779508,0.00103252853190503,0.00045371202595205
0.28,0.000981202593627106,0.999998882574575,0.00103668088975083,0.000444278970362044
0.29,0.00105252561453062,0.999998809994577,0.00104073990961081,0.00043480995953472
0.3,0.00112634999019408,0.999998729511568,0.00104471314779292,0.000425306229077152
0.31,0.00120267571131378,0.999998640577309,0.00104859479934649,0.000415768703369374
0.32,0.00128150277342555,0.999998542615049,0.00105238842988897,0.000406198242433759
0.33,0.00136283116838713,0.999998435036135,0.00105609106058223,0.000396595713673745
0.34,0.00144666089018729,0.999998317228322,0.00105970430823791,0.000386961977226241
